COM	NOM_COM	GENTILE
2283	Erlon	Erlonais
2287	Essigny-le-Grand	Essignaquois
2288	Essigny-le-Petit	Essignyacois
2289	Essises	Essisois
2303	Fayet	Fayellois
2305	Fère-en-Tardenois	Férois
2306	La Ferté-Chevresis	Fertois
2307	La Ferté-Milon	Milonais
2309	Festieux	Festéoliens
2310	Fieulaine	Fieulainois
2312	La Flamengrie	Flamengrois
2315	Flavy-le-Martel	Flaviens
2317	Fluquières	Fluquièrois
2318	Folembray	Folembraysiens
2324	Fontenelle	Fontenellois
2328	Fossoy	Fossoyens
2330	Francilly-Selency	Francillois
2332	Fresnes-en-Tardenois	Fresnois
2334	Fresnoy-le-Grand	Fresnoysiens
2335	Fressancourt	Fressancourtois
2340	Gauchy	Gasiaquois
2343	Germaine	Germainois
2346	Gizy	Gizyciens
2347	Gland	Glamois
2350	Goudelancourt-lès-Pierrepont	Goudelancourtois
2355	Gricourt	Gricourtois
2356	Grisolles	Grisollois
2359	Grugies	Grugeois
2361	Guise	Guisards
2364	Guyencourt	Guyencourtois
2368	Haramont	Haramontois
2372	Hartennes-et-Taux	Hartennois
2374	Lehaucourt	LeHaucourtois
2376	Hauteville	Hautevillois
2383	Homblières	Hombliérois
2385	Housset	Houssetois
2386	Iron	Ironnais
2387	Itancourt	Itancourtois
2390	Jeancourt	Jeancourtois
2392	Joncourt	Joncourtois
2396	Jumigny	Jumignyacois
2398	Juvigny	Joviniens
2399	Juvincourt-et-Damary	Juvincourtois
2403	Landifay-et-Bertaignemont	Flaconiers
2408	Laon	Laonnois
2412	Launoy	Launoyens
2415	Laversine	Laversinois
2416	Lemé	Elmérois
2417	Lempire	Lempirois
2418	Lerzy	Lerzyens
2420	Lesdins	Lesdinois
2423	Leuilly-sous-Coucy	Leuillois
2433	Lislet	Lisletois
2440	Lor	Loriots
2442	Loupeigne	Loupeignois
2443	Lucy-le-Bocage	Berlots
2445	Luzoir	Luzoiriens
2451	Magny-la-Fosse	Magnyfossiens
2456	Manicamp	Manicampois
2457	Marchais	Marchaisiens
2462	Mareuil-en-Dôle	Mareuillois
2468	Marle	Marlois
2469	Marly-Gomont	Marlysiens
2471	Martigny-Courpierre	Mals-Peignés
2472	Mauregny-en-Haye	Mauregnyciens
2473	Mayot	Mayotains
2476	Mennevret	Mennevréziens
2477	Mercin-et-Vaux	Mercinois
2478	Merlieux-et-Fouquerolles	Mérilociens
2483	Mézières-sur-Oise	Macériens
2486	Missy-lès-Pierrepont	Missyacois
2494	Monceau-sur-Oise	Moncéens
2497	Mons-en-Laonnois	Montois
2498	Montaigu	Montacutains
2499	Montbavin	Montbavinois
2500	Montbrehain	Montbrehainois
2503	Mont-d'Origny	Orignyquois
2509	Monthiers	Monthiérois
2510	Monthurel	Monthurellois
2520	Mont-Notre-Dame	Mont-Nostradamiens
2524	Mont-Saint-Père	Montépierrins
2525	Morcourt	Morcourtois
2531	Moussy-Verneuil	Moussyacois
2533	Muret-et-Crouttes	Muretains
2534	Muscourt	Muscourtois
