"","topic","term","beta"
"397",1,"faire",1.61061718850664e-05
"398",2,"faire",1.25050020008003e-05
"399",3,"faire",0.00015210597638209
"400",4,"faire",0.00954092920353982
"401",5,"faire",0.00179344281733563
"402",6,"faire",0.00444918778067306
"403",7,"faire",0.0010740001210141
"404",8,"faire",1.34956409079867e-05
"405",9,"faire",1.52746379910796e-05
"406",1,"femme",0.00130459992269038
"407",2,"femme",1.25050020008003e-05
"408",3,"femme",1.38278160347355e-05
"409",4,"femme",0.000169001966568338
"410",5,"femme",1.48218414655837e-05
"411",6,"femme",1.38603980706326e-05
"412",7,"femme",1.51267622678042e-05
"413",8,"femme",1.34956409079867e-05
"414",9,"femme",1.52746379910796e-05
"415",1,"fluvial",0.000660353047287721
"416",2,"fluvial",1.25050020008003e-05
"417",3,"fluvial",1.38278160347355e-05
"418",4,"fluvial",1.53638151425762e-05
"419",5,"fluvial",1.48218414655837e-05
"420",6,"fluvial",1.38603980706326e-05
"421",7,"fluvial",1.51267622678042e-05
"422",8,"fluvial",1.34956409079867e-05
"423",9,"fluvial",1.52746379910796e-05
"424",1,"forme",0.00017716789073573
"425",2,"forme",0.000887855142056823
"426",3,"forme",1.38278160347355e-05
"427",4,"forme",0.0003226401179941
"428",5,"forme",0.00149700598802395
"429",6,"forme",1.38603980706326e-05
"430",7,"forme",1.51267622678042e-05
"431",8,"forme",1.34956409079867e-05
"432",9,"forme",1.52746379910796e-05
"433",1,"fortement",1.61061718850664e-05
"434",2,"fortement",1.25050020008003e-05
"435",3,"fortement",1.38278160347355e-05
"436",4,"fortement",1.53638151425762e-05
"437",5,"fortement",0.00238631647595897
"438",6,"fortement",1.38603980706326e-05
"439",7,"fortement",1.51267622678042e-05
"440",8,"fortement",0.000418364868147588
"441",9,"fortement",0.00505590517504735
"442",1,"fédérateur",1.61061718850664e-05
"443",2,"fédérateur",1.25050020008003e-05
"444",3,"fédérateur",1.38278160347355e-05
"445",4,"fédérateur",1.53638151425762e-05
"446",5,"fédérateur",1.48218414655837e-05
"447",6,"fédérateur",0.000152464378776958
"448",7,"fédérateur",1.51267622678042e-05
"449",8,"fédérateur",1.34956409079867e-05
"450",9,"fédérateur",0.000320767397812672
"451",1,"gamme",0.00017716789073573
"452",2,"gamme",0.000637755102040816
"453",3,"gamme",1.38278160347355e-05
"454",4,"gamme",1.53638151425762e-05
"455",5,"gamme",1.48218414655837e-05
"456",6,"gamme",1.38603980706326e-05
"457",7,"gamme",1.51267622678042e-05
"458",8,"gamme",1.34956409079867e-05
"459",9,"gamme",1.52746379910796e-05
"460",1,"générer",1.61061718850664e-05
"461",2,"générer",1.25050020008003e-05
"462",3,"générer",0.000981774938466218
"463",4,"générer",0.000169001966568338
"464",5,"générer",0.000459477085433094
"465",6,"générer",1.38603980706326e-05
"466",7,"générer",1.51267622678042e-05
"467",8,"générer",0.000688277686307323
"468",9,"générer",1.52746379910796e-05
"469",1,"habitant",0.0275576600953485
"470",2,"habitant",0.000512705082032813
"471",3,"habitant",0.00015210597638209
"472",4,"habitant",0.00523906096361848
"473",5,"habitant",1.48218414655837e-05
"474",6,"habitant",1.38603980706326e-05
"475",7,"habitant",1.51267622678042e-05
"476",8,"habitant",1.34956409079867e-05
"477",9,"habitant",0.0129987169304087
"478",1,"hectare",1.61061718850664e-05
"479",2,"hectare",0.00163815526210484
"480",3,"hectare",0.00015210597638209
"481",4,"hectare",1.53638151425762e-05
"482",5,"hectare",1.48218414655837e-05
"483",6,"hectare",0.00112269224372124
"484",7,"hectare",0.000317662007623888
"485",8,"hectare",1.34956409079867e-05
"486",9,"hectare",0.00077900653754506
"487",1,"histoire",1.61061718850664e-05
"488",2,"histoire",0.000762805122048819
"489",3,"histoire",1.38278160347355e-05
"490",4,"histoire",1.53638151425762e-05
"491",5,"histoire",1.48218414655837e-05
"492",6,"histoire",1.38603980706326e-05
"493",7,"histoire",1.51267622678042e-05
"494",8,"histoire",1.34956409079867e-05
"495",9,"histoire",1.52746379910796e-05
"496",1,"homme",1.61061718850664e-05
"497",2,"homme",1.25050020008003e-05
